area_name,city,latitude,longitude,place_type,pincode
Banban,,28.1574461,76.8491566,hamlet,
Bhola Ki Dhani,,28.1184327,76.7216921,hamlet,
Bibipur,,28.1422,76.8227148,hamlet,
Chhapar,,28.1369777,76.8346023,hamlet,
Daganheri,,28.1229232,76.8337027,hamlet,
Dhanpura,,28.2331977,77.5582057,hamlet,
Gandhola,,28.1300142,76.892023,hamlet,
Humayunpur,,28.8990171,76.8160941,hamlet,
Kairaka,,28.1300716,77.2507031,hamlet,
Kalaka,,28.1516601,76.8074369,hamlet,
Kharkhan,,28.1476207,76.9084597,hamlet,
Khatiya Ki Dhani,,28.3314548,76.9438956,hamlet,
Khohri Khurd,,28.1249049,76.8665957,hamlet,
Kulawat,,28.1337231,76.953907,hamlet,
Ladamka,,28.1013987,76.8175649,hamlet,
Ladiya,,28.1307333,76.8457174,hamlet,
Lalheri,,29.0691688,77.0205964,hamlet,
Lalwa,,28.1429055,77.2888438,hamlet,
Mehindiga,,28.1461478,76.9450615,hamlet,
Nakhnol,,28.1072302,76.8440792,hamlet,
Rajpur,,28.1270211,77.2967609,hamlet,
SSI Jhuggi,,28.7287028,77.1570285,hamlet,
Saidulajaib Extension,,28.5133101,77.1958544,hamlet,
Sehri,,28.9371824,76.8850161,hamlet,
Shahpur,,28.1433542,76.8026948,hamlet,
Singhpur,,28.140043,76.8129301,hamlet,
Udhanwas,,28.1403079,76.9476842,hamlet,
Udmi Ki Dhani,,28.1228043,76.7221427,hamlet,
A Block,,28.7421947,77.1643474,neighbourhood,
A-2,,28.7523324,77.1698987,neighbourhood,
Acharya Niketan,,28.6083003,77.2947817,neighbourhood,
Adarsh Nagar,,28.4625722,77.0315823,neighbourhood,
Adarsh Society,,28.7575955,77.1795147,neighbourhood,
Adchini,,28.5380482,77.197621,neighbourhood,
Ajay Enclave,,28.6381412,77.1062643,neighbourhood,
Ajay Enclave Extension,,28.6371093,77.106767,neighbourhood,
Ajit Nagar,,28.6664525,77.2659606,neighbourhood,
Amar Colony,,28.5615391,77.2431499,neighbourhood,
Amar Park,,28.6703921,77.1625825,neighbourhood,
Ambedkar Nagar,,28.5192116,77.2362095,neighbourhood,
Amberhai,,28.5784051,77.0500199,neighbourhood,
Anand Lok,,28.5572924,77.2191223,neighbourhood,
Anand Niketan,,28.5785457,77.1638649,neighbourhood,
Andrews Ganj Extension,,28.560774,77.2299752,neighbourhood,
Ankhir,,28.4234958,77.2867265,neighbourhood,
Anuj Nayyar Vihar,,28.6008097,77.1297718,neighbourhood,
Aradhna Enclave,,28.5751302,77.179082,neighbourhood,
Arakpur Bagh,,28.5860468,77.1701151,neighbourhood,
Aram Bagh,,28.6433402,77.2107499,neighbourhood,
Aravali Retreat,,28.3146048,77.0123843,neighbourhood,
Arjondi,,28.3966387,77.3164802,neighbourhood,
Arjun Nagar,,28.5727295,77.2270561,neighbourhood,
Arjun Park,,28.6440141,77.2783394,neighbourhood,
Arjun Vihar,,28.5920342,77.1550497,neighbourhood,
Aruna Nagar,,28.6979093,77.2259061,neighbourhood,
Arya Nagar,,28.6459846,77.213524,neighbourhood,
Asalatpur Gaon,,28.6215656,77.0770499,neighbourhood,
Asha Pushp Vihar,,28.6350455,77.3273216,neighbourhood,
Ashok Nagar,,28.6360207,77.101822,neighbourhood,
Ashok Park,,28.671984,77.1569775,neighbourhood,
Ashok Place,,28.6269047,77.2066571,neighbourhood,
Ashok Vihar Phase 3 Block J,,28.4963785,77.0228238,neighbourhood,
B Block,,28.7256927,77.1696168,neighbourhood,
Baans Kusjla,,28.3749344,76.9077579,neighbourhood,
Baba Nagar,,28.419982,77.3139776,neighbourhood,
Badauli Village,,28.3783093,77.3450814,neighbourhood,
Badkhal village,,28.4101372,77.2782395,neighbourhood,
Badli Industrial Area Phase 2,,28.7464118,77.1312654,neighbourhood,
Balbir Nagar,,28.6837898,77.2907538,neighbourhood,
Balbir Nagar Extension,,28.6854297,77.290632,neighbourhood,
Bali Nagar,,28.6541384,77.128178,neighbourhood,
Baljeet Nagar,,28.6563217,77.1605162,neighbourhood,
Ballimaran,,28.6531586,77.2254416,neighbourhood,
Bana Singh Enclave,,28.5493148,77.1366443,neighbourhood,
Banarsi Dass Estate,,28.6979904,77.2186381,neighbourhood,
Bank Enclave,,28.6416337,77.1293811,neighbourhood,
Bapa Nagar,,28.6542692,77.180901,neighbourhood,
Bapu Park,,28.5755646,77.2233096,neighbourhood,
Bara Hindu Rao,,28.6595181,77.20501,neighbourhood,
Bas Haria,,28.3736215,76.8921931,neighbourhood,
Bengali Colony,,28.5980649,77.0786363,neighbourhood,
Ber Sarai,,28.548451,77.181444,neighbourhood,
Beri Wala Bagh,,28.6638994,77.2061159,neighbourhood,
Bestech Park View,,28.4986256,77.0213235,neighbourhood,
